,WV,FL,IL,MN,MD,RI,ID,NH,NC,VT,CT,DE,NM,CA,NJ,WI,OR,NE,PA,WA,LA,GA,AL,UT,OH,TX,CO,SC,OK,TN,WY,HI,ND,KY,ME,NY,NV,AK,MI,AR,MS,MO,MT,KS,IN,SD,MA,VA,DC,IA,AZ
1990-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-01-01,0.6765676567656698,-0.7617561265629957,0.12143982087626792,0.9135430401205458,-1.8091423836486764,-5.021551724137929,4.192093393473062,-5.765522560740466,-1.1031651861591274,-3.938814531548762,-3.5627873215581918,0.7248477819657762,1.6416346489696032,0.21127605938138228,-4.006601017205924,1.1769373181698128,0.6098050228676932,2.53955037468776,-1.1168881186212176,2.0399510034863066,2.222646796586414,-0.7455515424633075,0.6420055029043192,3.873684210526318,0.14872345699412648,2.0954929818068013,2.389828251897219,-0.43481125238817864,1.8386961972419513,-0.5008195228555778,2.8615227388860687,4.483091787439619,2.050892518040248,0.3240261978628034,-3.651376146788987,-3.061249183263559,3.050180387012147,4.722703639514725,0.09219422249537867,1.2709543113837984,0.6995264743865581,-1.438879637931767,2.0109066121336117,-0.07352265416781245,-0.08752735229758946,3.0698659139026363,-5.57287735074995,-1.5471555080803556,-0.7406331687481837,1.4221126181668708,1.5270802226143632
1991-02-01,0.3628566716147308,-1.403645398750264,-0.40537212782483234,0.40850824059728286,-2.5813538377042478,-5.843035791289353,3.7720917963597778,-6.055329851035007,-1.8808276919146771,-4.302727621974656,-4.080766432209549,-2.738944365192586,1.745810055865915,-0.22934496839513985,-4.273342354533161,0.7416834898622104,0.9173573670234081,2.0174105292247946,-1.4427429451988716,1.9345728406683804,2.027972027972025,-1.4650439843905128,0.49586776859502635,4.166666666666674,-0.9310833864304424,2.091741033365535,1.9316296050448045,-0.979232386961082,1.7918159846653792,-0.7320843943252053,2.9037187977585255,3.127398311588636,2.1623672230652424,0.18580964833803115,-4.341427520235475,-3.4270363154519257,2.967213114754097,3.5178035178035305,-1.4001623376623473,1.5674668420475824,0.1181271477663115,-1.6993296614149611,2.0776566757493065,-0.16536518144234513,-0.5849349409096316,3.167898627243937,-6.051143833815409,-2.4001925655926404,-1.0568987983205491,0.8919073725554449,1.1451416181054386
1991-03-01,-0.13095432967751286,-1.7945441413411811,-0.6879216827622825,0.3801745987045857,-3.0790986223884653,-6.484274019819036,3.1430068098480923,-6.47843743956682,-2.35151669640582,-4.459823144944264,-4.160601649684614,-1.082929609575367,1.1298452981053364,-0.5832907184863179,-4.525413184019045,0.6709055031791422,0.2722395708223191,2.00193290073174,-1.7393981374586254,1.8206559992492322,1.8247481467401627,-1.8553303674410992,0.7536764705882382,3.9966461710452705,-1.2138112031493398,1.9851503386516312,1.7145505097312386,-1.1885218990084767,1.8833333333333258,-0.9445100354191105,2.784810126582271,2.663345468480549,2.0083364910951085,-0.4521167283189409,-5.06700936295209,-3.751995742416192,2.381729200652538,2.464938376540582,-2.1854338060869116,1.561646827563612,-0.2995293110825803,-1.613109717065686,1.2542372881355845,0.18353675323483643,-1.0763792350160784,2.73109243697478,-6.148121315902122,-2.6275115919629055,-1.6184971098266,1.1313330054107285,0.9063239770037201
1991-04-01,-0.37637047946327273,-2.013770637447254,-0.5168398932242857,0.33750527351990023,-3.5016435354273345,-6.5577342047930305,2.7828348504551403,-6.341463414634141,-2.266713424937028,-4.382929642445221,-3.7448158087338257,-3.0998851894374124,0.5519144532597497,-0.7178521862587162,-4.133402359608729,0.288297732931464,-0.46204094638730986,1.1503697617091246,-1.6676961087090936,1.5133115366651184,1.8018587595624913,-1.889222842421634,0.04867068199791991,3.081193615544775,-1.589347079037795,1.4071784449054991,1.5452684408637785,-2.1464563837445216,1.917967452673519,-1.2213393870601608,1.7042606516290748,1.7490494296578118,1.542513167795323,0.4817287179134322,-4.996312684365789,-3.766101448220649,2.1107322617307966,1.815111861544949,-2.2960084775697664,1.3069048137660744,-0.32020493115594295,-1.8301547934661655,0.8075370121130687,0.5139972464433207,-0.19939384271813188,2.8282122905028073,-5.9159039660432455,-2.6831785345717285,-1.5527499637208009,1.1958391350642916,0.17510775862070727
1991-05-01,-2.168674698795181,-2.2013566715339272,-0.9131125226860326,0.46454882455071456,-3.3302794319743367,-6.700130947184634,3.1266284523189247,-6.082009024916612,-2.192716478886725,-4.641350210970463,-4.111260217152624,-1.7191977077363862,0.2922468626439523,-1.039956648550433,-4.1604064796350375,0.10908456235274588,-0.7073035047285958,0.7112570099849558,-1.916729399502004,1.6318537859007831,1.5195278161497017,-1.8736599043377877,-0.13948693068107643,3.131061235799404,-1.9017853495117754,1.0655622630913797,1.0041346721795685,-2.3492560689115094,1.5405002484677688,-1.0919305876489482,2.8846153846153966,1.5553869499241202,1.0494752623688264,0.0960285341930156,-4.976873265494907,-4.163234652841719,1.9967532467532356,2.0631578947368334,-2.278512917454323,0.770399305555558,-0.8288173414089939,-2.0812897172346023,1.1103633916554445,0.12814645308925066,-0.3743379395484081,2.6068821689259725,-6.062115927586776,-2.7003783969728246,-1.4391626689925774,1.0962041884816642,-0.201531640467556
