,WV,FL,IL,MN,MD,RI,ID,NH,NC,VT,CT,DE,NM,CA,NJ,WI,OR,NE,PA,WA,LA,GA,AL,UT,OH,TX,CO,SC,OK,TN,WY,HI,ND,KY,ME,NY,NV,AK,MI,AR,MS,MO,MT,KS,IN,SD,MA,VA,DC,IA,AZ
1990-01-01,606.0,5382.3,5270.1,2123.6,2172.3,464.0,376.9,518.6,3118.3,261.5,1653.2,344.9,572.6,12495.5,3696.4,2268.6,1246.3,720.6,5193.0,2122.6,1570.2,3017.9,1635.5,712.5,4841.2,7024.6,1502.2,1517.9,1196.5,2196.4,195.7,517.5,263.3,1450.5,545.0,8264.6,609.8,230.8,3904.8,912.7,929.2,2342.1,293.4,1088.1,2513.5,283.4,3046.9,2902.1,688.6,1216.5,1473.4
1990-02-01,606.3,5393.1,5279.1,2129.7,2184.9,463.8,379.1,516.9,3131.6,260.3,1649.2,350.5,572.8,12513.9,3695.0,2278.6,1242.7,723.7,5191.5,2124.5,1573.0,3023.8,1633.5,712.8,4865.3,7037.2,1506.5,1521.6,1199.9,2199.2,196.3,521.2,263.6,1453.1,543.6,8263.7,610.0,233.1,3942.4,912.3,931.2,2342.1,293.6,1088.5,2513.1,284.1,3042.4,2908.1,690.7,1222.1,1475.8
1990-03-01,610.9,5399.7,5291.3,2130.6,2192.2,464.2,381.8,517.1,3138.4,260.1,1648.8,350.9,575.3,12515.2,3696.9,2280.5,1248.9,724.3,5197.2,2131.1,1578.3,3034.5,1632.0,715.6,4877.2,7057.4,1510.6,1522.9,1200.0,2202.2,197.5,521.9,263.9,1459.8,544.7,8267.6,613.0,235.3,3962.6,915.7,934.8,2343.3,295.0,1089.7,2517.7,285.6,3036.7,2911.5,692.0,1219.8,1478.5
1990-04-01,611.1,5402.8,5282.1,2133.3,2190.4,459.0,384.5,512.5,3136.7,260.1,1639.6,348.4,579.8,12537.4,3670.1,2289.3,1255.3,730.2,5180.8,2141.0,1581.7,3027.7,1643.7,720.5,4888.8,7085.1,1514.3,1528.1,1204.4,2202.5,199.5,526.0,265.8,1453.1,542.4,8244.6,615.9,236.9,3963.4,918.2,936.9,2338.6,297.2,1089.5,2507.6,286.4,3015.6,2907.0,689.1,1220.9,1484.8
1990-05-01,622.5,5410.3,5289.6,2131.1,2183.0,458.2,383.8,509.7,3133.1,260.7,1639.4,349.0,581.7,12548.6,3660.7,2291.8,1258.3,731.1,5180.7,2144.8,1592.6,3031.5,1648.9,721.8,4895.4,7123.0,1523.7,1532.4,1207.4,2207.1,197.6,527.2,266.8,1457.9,540.5,8255.6,616.0,237.5,3967.5,921.6,941.1,2344.7,297.2,1092.5,2511.1,287.7,3010.5,2907.0,687.9,1222.4,1488.6
1990-06-01,613.2,5412.1,5299.2,2132.3,2188.0,456.9,383.5,507.9,3131.7,259.7,1637.9,348.3,585.7,12551.8,3651.1,2298.1,1261.0,732.8,5178.3,2150.3,1590.3,3039.7,1650.5,724.5,4904.8,7136.6,1522.1,1535.9,1211.6,2207.9,197.8,529.0,266.1,1455.2,540.3,8233.4,619.1,240.2,3975.1,924.3,937.7,2349.0,299.0,1093.1,2529.3,287.5,3002.8,2903.3,688.3,1222.0,1483.1
1990-07-01,612.8,5400.3,5303.3,2138.8,2176.7,454.9,384.0,504.8,3127.6,258.6,1628.9,346.1,581.5,12574.4,3641.9,2297.7,1262.0,732.9,5178.4,2155.3,1593.6,3036.0,1652.1,725.8,4900.5,7149.7,1522.4,1529.7,1215.8,2203.1,197.7,529.6,266.3,1463.9,536.1,8209.2,626.5,239.6,3976.4,926.9,943.1,2348.5,297.7,1083.8,2543.1,290.1,2987.1,2898.7,686.2,1230.4,1483.6
1990-08-01,612.1,5402.2,5308.4,2141.4,2177.0,453.4,387.5,503.4,3115.9,258.0,1622.1,349.4,582.0,12554.1,3633.7,2297.5,1271.0,734.3,5174.3,2165.6,1601.2,3035.9,1649.8,728.6,4899.7,7150.3,1525.2,1529.1,1216.8,2207.5,198.8,530.6,266.6,1467.5,529.7,8201.7,626.3,239.0,3965.9,927.9,932.0,2353.3,297.1,1092.6,2545.1,289.5,2974.7,2897.5,687.0,1230.1,1482.3
1990-09-01,611.8,5396.2,5297.8,2142.2,2182.8,454.7,390.6,503.9,3116.5,255.3,1618.9,348.7,581.5,12547.4,3609.5,2301.7,1261.8,733.2,5171.6,2161.5,1599.5,3031.6,1651.3,732.6,4899.5,7184.7,1529.2,1535.2,1220.2,2201.9,198.8,530.7,266.3,1467.1,528.5,8180.4,626.8,238.6,3950.0,931.0,942.1,2350.0,296.4,1095.3,2531.0,289.8,2963.1,2894.2,686.5,1235.2,1485.4
1990-10-01,610.4,5386.9,5279.7,2139.7,2165.9,452.1,390.3,497.7,3100.9,254.3,1606.0,347.0,582.2,12562.9,3582.5,2300.1,1258.7,732.3,5153.3,2153.7,1598.6,3017.6,1647.1,735.3,4883.7,7182.1,1527.1,1531.4,1213.7,2194.3,199.3,535.0,267.1,1465.2,527.3,8135.3,628.0,240.1,3938.9,927.6,942.2,2341.7,300.2,1095.3,2527.6,290.7,2939.1,2876.9,681.5,1233.3,1486.5
